nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
asiaiadam_1,Szczecin,https://allegro.pl/uzytkownik/asiaiadam_1,1,50000.0,2009.0
bezak11,Pobiedziska,https://allegro.pl/uzytkownik/bezak11,1,44900.0,2013.0
bartheec,Polkowice,https://allegro.pl/uzytkownik/bartheec,1,79900.0,2015.0
hubertus125,Krzymów,https://allegro.pl/uzytkownik/hubertus125,1,36500.0,2013.0
miki1985,Płock,https://allegro.pl/uzytkownik/miki1985,2,17649.5,2005.5
olek1985,Młodzieszyn,https://allegro.pl/uzytkownik/olek1985,1,21900.0,2003.0
juliano1,Dobra szczecińska,https://allegro.pl/uzytkownik/juliano1,1,22900.0,2015.0
malinka851,Grójec,https://allegro.pl/uzytkownik/malinka851,1,35200.0,2011.0
Client:42285732,Jeżowe podkarpackie,https://allegro.pl/uzytkownik/Client:42285732,1,33500.0,2008.0
auta_plock,Płock,https://allegro.pl/uzytkownik/auta_plock,6,87233.33,2015.0
asus888,Człuchów,https://allegro.pl/uzytkownik/asus888,8,33287.25,2010.12
Client:50059982,Rogoznik ,https://allegro.pl/uzytkownik/Client:50059982,1,17900.0,2005.0
Client:45706017,Trzcianka,https://allegro.pl/uzytkownik/Client:45706017,1,3499.0,2002.0
MichGankowski,Płock,https://allegro.pl/uzytkownik/MichGankowski,8,94525.0,2016.25
Car_Pasja,Płock,https://allegro.pl/uzytkownik/Car_Pasja,16,59087.5,2014.75
MARCIN_S-rz,Sandomierz,https://allegro.pl/uzytkownik/MARCIN_S-rz,29,26275.86,2008.86
matejko768,Jedlnia - letnisko,https://allegro.pl/uzytkownik/matejko768,1,45990.0,2009.0
ooomiliooo,Kielce,https://allegro.pl/uzytkownik/ooomiliooo,4,19825.0,2005.5
eko-pellet,Racibórz,https://allegro.pl/uzytkownik/eko-pellet,1,49900.0,2008.0
copard,Wrocław,https://allegro.pl/uzytkownik/copard,1,40000.0,2003.0
liderbus11,Raków,https://allegro.pl/uzytkownik/liderbus11,1,55000.0,2009.0
ewkamaz,Kruszyna,https://allegro.pl/uzytkownik/ewkamaz,2,57449.5,2009.5
kisskissbangbang,Mirków,https://allegro.pl/uzytkownik/kisskissbangbang,1,64999.0,2015.0
tomekk_ek,Zielona góra,https://allegro.pl/uzytkownik/tomekk_ek,2,42400.0,2010.0
ArminKolasinski,Wilczyce,https://allegro.pl/uzytkownik/ArminKolasinski,1,22900.0,2004.0
fokustsz,Staszów,https://allegro.pl/uzytkownik/fokustsz,5,19813.6,2008.4
autoexc,Borkowo kościelne,https://allegro.pl/uzytkownik/autoexc,38,89628.95,2012.13
jacekkulicki,Grodzisk mazowiecki,https://allegro.pl/uzytkownik/jacekkulicki,1,22900.0,2007.0
BAXI-CARS,Warszawa,https://allegro.pl/uzytkownik/BAXI-CARS,1,24700.0,2007.0
micro_system_,Lublin,https://allegro.pl/uzytkownik/micro_system_,1,30900.0,2004.0
ciacho401,Kowala,https://allegro.pl/uzytkownik/ciacho401,2,21900.0,2005.5
Darek3110,Wieluń,https://allegro.pl/uzytkownik/Darek3110,1,45900.0,2011.0
parzynio,Warszawa,https://allegro.pl/uzytkownik/parzynio,1,32000.0,2009.0
V1RAGE,Kraków,https://allegro.pl/uzytkownik/V1RAGE,2,437521.0,2019.0
wiciu242,Inowrocław,https://allegro.pl/uzytkownik/wiciu242,1,37000.0,2010.0
maaniek332,Obryte,https://allegro.pl/uzytkownik/maaniek332,2,10900.0,2003.5
Alemak1,Żołędowo,https://allegro.pl/uzytkownik/Alemak1,1,49990.0,2007.0
Michall2006,Starachowice,https://allegro.pl/uzytkownik/Michall2006,1,27900.0,2006.0
syndrommm,Radom,https://allegro.pl/uzytkownik/syndrommm,9,37700.0,2009.78
kamil241999,Okolice krakowa,https://allegro.pl/uzytkownik/kamil241999,1,70000.0,2015.0
guciol16,Kiszkowo,https://allegro.pl/uzytkownik/guciol16,1,99999.0,2012.0
drewexport,Żory,https://allegro.pl/uzytkownik/drewexport,1,59900.0,2015.0
c1premium,Łasin,https://allegro.pl/uzytkownik/c1premium,1,43900.0,2006.0
mlody19870323,Kraków,https://allegro.pl/uzytkownik/mlody19870323,1,19999.0,2006.0
